Title_Item,Price,Original Price,description,time_of_published,status
HUDSON JEANS,27.0,777.0,Hudson jeans good used condition  I think these jeans are for a teenager they say twelve but look like they are for a petite person or someone  small they stretch  they are 33 inc long and about 14 inc across really 🥰,2021-08-29T15:39:36-07:00,available
MICHAEL KORS BAG,30.0,777.0,Michael kors small leather Bag 9inc across/6 inc deep  small Handel nice used condition great for your phone and wallet  it’s cute,2021-04-08T16:08:59-07:00,sold_out
Mickey Mouse 🐭 watch,75.0,777.0,Mickey 🐭 watch vintage works great new battery has some faded on the claps great for it age has adjustable clasp Seiko Walt Disney protection also has some scratches on the back   And around the face of the watch but none on the face 🐭,2022-05-19T21:59:23-07:00,available
Louis Vuitton wallet,499.0,777.0,Louis Vuitton vintage wallet in great used condition has a few scuffs. The zipper works great has a lot of compartments. The canvas is really clean. For its age  7/12 wide about 4/12 long snap works great Date code  CA6008 .I pointed out in the last picture the two small areas that were  damaged  . And the rest are scutt marks   .,2023-03-25T13:06:01-07:00,available
AUTHENTIC Chanel Essential Bowler Bag Leather,1900.0,2395.0,"Reposhing this item I purchased from @medusa8383. Loved it, but ready to rotate for something new.

Questions? Leave a comment below!I have never used this bag there is nothing wrong with it it’s beautiful  I would like to find it a new home  so some one else can enjoy it",2021-08-23T00:30:45-07:00,available
Charles Winston’s moisanite fire Ring PRICE IS FIRM,499.0,777.0,Moissanite ring designed by Charles Winston 3.66 carats beautiful ring the gram on it is 4.32 rhodium over silver very beautiful and has a lot of spark light more beautiful than a diamond if you want to be the center of attention this would be the ring for you it’s so beautiful😎 great for a valentines gift❤️🌹🥰,2021-08-22T12:43:14-07:00,available
Louis Vuitton  Bag,1890.0,777.0,Louis Vuitton shoulder  Bag vintage new condition only used a fue times this Bag is rare it’s Beautiful in side and out and the strap is the original one that goes to it it comes with dust bag 💼 the person that buys this will love it  date code RS9206  lots of compartment on the in side  and one on the outside very rare find snap closure on the flap  ❤️ the leather on this Bag is really soft  and the inside i is suede.,2023-03-29T14:17:17-07:00,available
DIAMOND AND GOLD RING 💍SOLD),1450.0,777.0,Beautiful 18 Kt Gold Diamond Ring almost a half Kt Ot Beautiful Diamonds And Gram Weight is Almost Ten Grams  It’s Very Beautiful 😻,2022-07-11T14:37:20-07:00,available
Napier  Beeds Vintage Necklace,75.0,777.0,Napier vintage beeds necklace great shape Beautiful 😻 about  15/ and one half inc  long really shiny 🔥,2022-06-14T12:50:29-07:00,available
Tennis Bracelet  silver,98.0,777.0,"Reposhing this item I purchased from @vintageness. Loved it, but ready to rotate for something new.

Questions? Leave a comment below! This Bracelet is really nice the stones are cubic zirconia and they shine really pretty but unfortunately it does not fit me  it is  about 7 inches long and the bracelet is very comfortable  thanks for looking 👀",2023-04-14T08:37:24-07:00,available
Marquise cut Diamond ring,1400.0,777.0,Marquise cut diamond ring with the middle stone over a quarter Kt  10 smaller Diamonds ♦️ the Qualityi is excellent set in 14 Kt gold  the pictures does not do the ring justice  nice wide band great for a wedding ring are for any other occasions .,2021-06-14T13:58:37-07:00,available
Turquoise and  silver coil men’s ring,449.0,777.0,Vintage turquoise and silver with Coyle heavy men’s ring  this ring was hand made and very old it has a mark on the back witch I can’t understand it but this is really unique thanks for looking 👀,2023-04-20T11:59:56-07:00,available
Diamond cocktail Ring,358.0,777.0,Diamond cocktail ring Beautiful 1 ct of genuine diamonds set in Beautiful sterling silver these pictures does not do this ring Justus  it’s really pretty  brand new just tryed on .,2022-01-16T08:24:57-08:00,available
